"Artist","Title","Description","Year","Medium","Dimensions","Copyright","Credit","Department","Floor","Room","Image_Hyperlink","Art_id","View_Status"
"Marianne Brandt","Teapot","Among the best-known products developed at the Bauhaus, the famed German school of modern art, architecture, and design, this teapot was a student work designed by Brandt soon after she joined the metal workshop there. The artist László Moholy-Nagy, who had taken over as the workshop’s form master in 1923, encouraged her to enter this male-dominated field at a time when virtually all female students in the school were relegated to textiles. An accomplished exercise in reducing an everyday object to a combination of elemental shapes, the teapot uses pure geometric forms inspired by the Constructivist aesthetic that Moholy-Nagy had introduced into the workshop. Its design is innovative yet functional, and it bears an ebony handle and finial that are comfortable to hold.
Although hand-forged from nickel silver, the teapot was among Brandt’s first attempts to develop pieces for industrial production. She later wrote that “the task was to shape these things in such a way that even if they were to be produced in numbers, making the work lighter, they would satisfy all aesthetic and practical criteria and still be far less expensive than any singly produced item.” The teapot remained a prototype, but some of her subsequent metalwork designs, especially for lighting, went into mass production. Brandt left the Bauhaus in 1929 when the metal workshop merged with other departments and ceased to be a vital area in the school.

		Publication excerpt from MoMA Highlights: 375 Works from The Museum of Modern Art, New York (New York: The Museum of Modern Art, 2019)","1924","Nickel silver and ebony",".a: 7 x 9"" (17.8 x 22.8 cm)","","Phyllis B. Lambert Fund","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjU5Mjk3Il0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDkwIC1yZXNpemUgMjAwMHgxNDQwXHUwMDNlIl1d.jpg?sha=b7b81dc436aa95a0","2438","On view"
"Marianne Brandt","Hot-Water Jug","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1924","Nickel silver, ebony, and raffia","6 7/8 x 3"" (17.5 x 7.6 cm)","","Phyllis B. Lambert Fund","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIyMzk5NCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=e1e5afca38f41f70","2440","On view"
"Marianne Brandt","Ceiling Lamp","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1925","Spun aluminum and milk glass shade","41 1/2 x 15"" (105.4 x 38.1 cm)","","Phyllis B. Lambert Fund","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjE2MjQ5MyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=81e59c2243d35abf","2449","On view"
"Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret, Charlotte Perriand","Chaise Longue (LC/4)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1928","Chrome-plated steel, fabric, and leather","26 3/8 x 23 x 62 3/8"" (67 x 58.4 x 158.4 cm)","© 2022 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC","Gift of Thonet Industries, Inc.","Architecture and Design"," Floor 5"," 513","https://www.moma.org/media/W1siZiIsIjIxMjE2MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=4b1b0b849504d1be","2796","On view"
"Marcel Breuer","Tea Cart (model B54)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1928","Nickel-plated tubular steel, rubber and painted wood","30 1/2 x 34 5/8 x 21 1/2"" (77.5 x 88 x 54.6 cm)","","Estée and Joseph Lauder Design Fund","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIyODg3NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=b7f9924273b38f90","2821","On view"
"Marcel Breuer","Club chair (model B3)","The model for this chair is the traditional overstuffed club chair, but all that remains is its mere outline, an elegant composition traced in gleaming steel. The canvas seat, back, and arms seem to float in space; the body of the sitter does not touch the steel framework. Breuer spoke of the chair as his “most extreme work . . . the least artistic, the most logical, the least ‘cozy’ and the most mechanical.” It was also his most influential piece of design, taking furniture in a radical new direction. Breuer had designed an earlier version in 1925, while teaching at the Bauhaus, the influential German school of modern art, architecture, and design in Dessau, and within a year designers everywhere were experimenting with tubular steel. Breuer claimed to have drawn inspiration from the tubular-steel handlebars of his bicycle, which were strong, lightweight, and mass-produced. He reasoned that if the material could be bent into handlebars, it could be bent into forms for furniture.
The chair was dubbed the “Wassily” after the painter Vasily (or Wassily) Kandinsky, Breuer’s friend and fellow Bauhaus instructor, who had praised the design when it was first produced. This example was given to MoMA by another Bauhaus colleague, Herbert Bayer, and was featured in the Museum’s landmark exhibition Machine Art in 1934.

		Publication excerpt from MoMA Highlights: 375 Works from The Museum of Modern Art, New York (New York: The Museum of Modern Art, 2019)","1927–1928","Chrome-plated tubular steel and canvas","28 1/4 x 30 3/4 x 28"" (71.8 x 78.1 x 71.1 cm)","","Gift of Herbert Bayer","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIxMDc4MyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=a23213fb8a01aa60","2851","On view"
"Louis Comfort Tiffany","Table Lamp","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","c. 1900","Bronze and glass","18 x 15"" (45.7 x 38.1 cm)","","Phyllis B. Lambert Fund","Architecture and Design"," Floor 5"," 501","https://www.moma.org/media/W1siZiIsIjIyOTEzMyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=a3770c29595386fa","3159","On view"
"Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret, Charlotte Perriand","Armchair with a Tilting Back (Siège à Dossier Basculant)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1928","Chrome-plated tubular steel and canvas","26 1/8 x 25 5/8 x 26"" (66.3 x 65.1 x 66 cm)","© 2022 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC","Gift of Thonet Brothers, Inc.","Architecture and Design"," Floor 5"," 513","https://www.moma.org/media/W1siZiIsIjIyOTE3NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=ad048a659d98bf0d","3178","On view"
"Le Corbusier (Charles-Édouard Jeanneret), Pierre Jeanneret, Charlotte Perriand","Easy Chair (Fauteuil Grand Confort)","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","Designed 1928 (this example 1959)","Chrome-plated tubular steel, horsehair, down, and leather","Overall: 26 x 30 x 27 3/4"" (66 x 76.2 x 70.5 cm); seat h. 16"" (40.6)","© 2022 Artists Rights Society (ARS), New York / ADAGP, Paris / FLC","Gift of Phyllis B. Lambert","Architecture and Design"," Floor 5"," 513","https://www.moma.org/media/W1siZiIsIjIyOTMxMiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=3a3dc7ab69392c5c","3328","On view"
"Anni Albers","Free-Hanging Room Divider","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","c.1949","Handwoven jute and lurex","53 x 34"" (134.6 x 86.3 cm)","© 2022 The Josef and Anni Albers Foundation / Artists Rights Society (ARS), New York","Gift of the designer","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjY2NzIzIl0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDkwIC1yZXNpemUgMjAwMHgxNDQwXHUwMDNlIl1d.jpg?sha=160f7f05149fca0c","3500","On view"
"Marianne Brandt","Ashtray","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1924","Brass and nickel-plated brass","2 5/8 x 3 1/8"" (6.7 x 7.9 cm)","","Gift of John McAndrew","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIyOTU5MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=2caf18ef4a4d631d","3539","On view"
"Marianne Brandt","Ashtray","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1924","Brass and nickel-plated metal","2 3/4 x 3 1/8"" (7 x 7.9 cm) diam. 3 1/8""","","Gift of John McAndrew","Architecture and Design"," Floor 5"," 519","https://www.moma.org/media/W1siZiIsIjIyOTYwNCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=6ee7cd6b0a5b15cd","3547","On view"
"Louis Sullivan","Spandrel from Gage Building, Chicago, Illinois","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1898-99","Cast iron and paint","50 x 74 7/8 x 4"" (127 x 190.2 x 10.2 cm)","","Gift of Dubin & Dubin, Architects, Chicago","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjU5NTk5Il0sWyJwIiwiY29udmVydCIsIi1xdWFsaXR5IDkwIC1yZXNpemUgMjAwMHgxNDQwXHUwMDNlIl1d.jpg?sha=8f851c4c3f2ca3f9","3610","On view"
"Frank Lloyd Wright","Darwin D. Martin House, Buffalo, NY, Window, 1904","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1903–1906","Leaded glass and wood frame","Window: 39 x 26 1/2"" (99.1 x 67.3 cm); window frame: 41 1/4 x 28 5/8"" (104.8 x 72.7 cm)","© 2022 Frank Lloyd Wright Foundation / Artists Rights Society (ARS), New York","Estée and Joseph Lauder Design Fund","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjM4MzE0NCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=2ed5c82d8392a7c8","3649","On view"
"Anni Albers","Design for Wall Hanging","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1927","Gouache and india ink on paper","13 7/8 x 11 1/2"" (35.2 x 29.2 cm)","© 2022 The Josef and Anni Albers Foundation / Artists Rights Society (ARS), New York","Gift of the designer","Architecture and Design"," Floor 5"," 511","https://www.moma.org/media/W1siZiIsIjIyMTY4MSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=01378a4efb87f2a0","3759","On view"
